branch	branch_url	first_commit	last_commit	days_idle	tip_author	author_in_sourcegraph_org	ahead_of_main	behind_main	pr_number	pr_url	pr_opened	pr_author	pr_author_in_sourcegraph_org	pr_status	assessment	change_summary	still_valid
SEC-3728-admin-passkey-docs	https://github.com/sourcegraph/docs/tree/SEC-3728-admin-passkey-docs	2026-02-18	2026-02-18	205	cbrnrd	yes	1	209	1615	https://github.com/sourcegraph/docs/pull/1615	2026-02-18	cbrnrd	yes	closed unmerged 2026-03-04	DELETE: PR closed without merge	Adds an Enterprise admin-authentication page documenting FIDO2/WebAuthn passkey step-up checks for admin pages, hourly re-verification, token-authenticated request bypass, passkey management, and HTTPS requirements. It introduces the `auth.adminPasskeyRequired` and `auth.adminPasskeyPINRequired` site settings, both defaulting to false.	OUTDATED: passkey admin feature was reverted on sourcegraph main; nothing to document (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
Update-AWS-AMI-docs	https://github.com/sourcegraph/docs/tree/Update-AWS-AMI-docs	2024-08-06	2024-08-06	765	marcleblanc2	yes	1	1054	548	https://github.com/sourcegraph/docs/pull/548	2024-08-06	marcleblanc2	yes	closed unmerged 2025-07-21	DELETE: PR closed without merge	Reworks the AWS AMI deployment guide with an instance-size chart, EC2 launch steps, SSH and public-IP security guidance, Application Load Balancer/HTTPS hardening, and scheduled EBS snapshot backups.	PARTIALLY VALID: AMI and one-click pages still published; hardening/ALB/snapshot guidance not on main. Kustomize references OUTDATED (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
aa/alerts-page	https://github.com/sourcegraph/docs/tree/aa/alerts-page	2024-03-21	2024-03-21	904	MaedahBatool	no	1	1355	188	https://github.com/sourcegraph/docs/pull/188	2024-03-21	MaedahBatool	no	closed unmerged 2024-05-07	DELETE: PR closed without merge; author left org	No substantive change: it only adds a large generated admin observability alerts page under `src/app/gen` (diff exceeded 1 MB and was summarized from its stat and a sample).	OUTDATED: generated alerts page; regenerate via sync/generated-docs instead
add-customer-docs	https://github.com/sourcegraph/docs/tree/add-customer-docs	2024-02-20	2024-02-20	933	MaedahBatool	no	2	1479	107	https://github.com/sourcegraph/docs/pull/107	2024-02-20	MaedahBatool	no	closed unmerged 2024-05-07	DELETE: PR closed without merge; author left org	Adds a broad Sourcegraph getting-started guide linking users to Cody, Code Search, Code Navigation, Code Monitoring, Batch Changes, Code Insights, Notebooks, CLI, and GraphQL/Stream APIs, and makes a small Cody Chat wording change.	OUTDATED: getting-started now lists Deep Search/MCP Server; Notebooks removed in 7.0 (https://sourcegraph.sourcegraph.com/deepsearch/90890366-ec4b-497d-8afc-2876cd37041b)
add-faq	https://github.com/sourcegraph/docs/tree/add-faq	2024-09-18	2024-09-18	722	MaedahBatool	no	2	961	661	https://github.com/sourcegraph/docs/pull/661	2024-09-18	MaedahBatool	no	closed unmerged 2024-09-19	DELETE: PR closed without merge; author left org	Adds a Cody FAQ answer saying Cody specializes in codebase, programming, testing, and debugging questions, while Cody Chat is also optimized for general-purpose queries.	ALREADY DOCUMENTED (https://sourcegraph.sourcegraph.com/deepsearch/15cee0a2-d598-4086-9f0b-b1b68cdf8504)
add-hello-world-76428404-87be-42ae-b9aa-845a60473c92	https://github.com/sourcegraph/docs/tree/add-hello-world-76428404-87be-42ae-b9aa-845a60473c92	2026-07-03	2026-07-03	69	bobheadxi	yes	1	81						no PR	REVIEW: no PR, idle 30-180d	Adds only a root-level `HELLO_WORLD.md` containing “Hello, World!”; no product documentation changes.	N/A: tooling/test/formatting/link fixes, no product claims
agentic-batch-changes/0664c2ca541672c2636927b735e66a9500f1447eebf156ade48cc77d03b760d2	https://github.com/sourcegraph/docs/tree/agentic-batch-changes/0664c2ca541672c2636927b735e66a9500f1447eebf156ade48cc77d03b760d2	2026-04-15	2026-04-15	149	sourcegraph-bot	bot	1	132	1748	https://github.com/sourcegraph/docs/pull/1748	2026-04-15	jdorfman	yes	closed unmerged 2026-04-15	DELETE: PR closed without merge	Site tooling only: simplifies the Tailwind content configuration paths; no documentation content changes.	N/A: tooling/test/formatting/link fixes, no product claims
ajb-remove-sourcegraph-dot-com-links	https://github.com/sourcegraph/docs/tree/ajb-remove-sourcegraph-dot-com-links	2024-12-12	2025-01-14	605	MaedahBatool	no	2	771	847	https://github.com/sourcegraph/docs/pull/847	2024-12-12	alexAtSourcegraph	no	closed unmerged 2025-07-21	DELETE: PR closed without merge; author left org	Updates links across admin, executors, API, Cloud, Perforce, audit/security logging, and observability pages to stop using obsolete Sourcegraph.com documentation URLs; no product claims change.	N/A: tooling/test/formatting/link fixes, no product claims
ajb-updating-stream-api	https://github.com/sourcegraph/docs/tree/ajb-updating-stream-api		2024-09-04	736	michaellzc	yes	0	992						no PR	DELETE: no commits beyond main	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
al/REL-404/update-version	https://github.com/sourcegraph/docs/tree/al/REL-404/update-version	2024-09-16	2024-09-25	715	Chickensoupwithrice	no	2	965						no PR	DELETE?: no PR, idle >180d; author left org	Site tooling only: adds a shell script that replaces Sourcegraph version strings and executor fork variables across deployment installation guides.	N/A: tooling/test/formatting/link fixes, no product claims
