branch	branch_url	first_commit	last_commit	days_idle	tip_author	author_in_sourcegraph_org	ahead_of_main	behind_main	pr_number	pr_url	pr_opened	pr_author	pr_author_in_sourcegraph_org	pr_status	assessment
MaedahBatool-patch-1	https://github.com/sourcegraph/docs/tree/MaedahBatool-patch-1	2024-06-25	2024-06-25	807	MaedahBatool	no	1	1112	449	https://github.com/sourcegraph/docs/pull/449	2024-06-21	MaedahBatool	no	merged 2024-06-21	DELETE: PR already merged; author left org
SEC-3728-admin-passkey-docs	https://github.com/sourcegraph/docs/tree/SEC-3728-admin-passkey-docs	2026-02-18	2026-02-18	205	cbrnrd	yes	1	209	1615	https://github.com/sourcegraph/docs/pull/1615	2026-02-18	cbrnrd	yes	closed unmerged 2026-03-04	DELETE: PR closed without merge
Update-AWS-AMI-docs	https://github.com/sourcegraph/docs/tree/Update-AWS-AMI-docs	2024-08-06	2024-08-06	765	marcleblanc2	yes	1	1054	548	https://github.com/sourcegraph/docs/pull/548	2024-08-06	marcleblanc2	yes	closed unmerged 2025-07-21	DELETE: PR closed without merge
aa/alerts-page	https://github.com/sourcegraph/docs/tree/aa/alerts-page	2024-03-21	2024-03-21	904	MaedahBatool	no	1	1355	188	https://github.com/sourcegraph/docs/pull/188	2024-03-21	MaedahBatool	no	closed unmerged 2024-05-07	DELETE: PR closed without merge; author left org
add-customer-docs	https://github.com/sourcegraph/docs/tree/add-customer-docs	2024-02-20	2024-02-20	933	MaedahBatool	no	2	1479	107	https://github.com/sourcegraph/docs/pull/107	2024-02-20	MaedahBatool	no	closed unmerged 2024-05-07	DELETE: PR closed without merge; author left org
add-faq	https://github.com/sourcegraph/docs/tree/add-faq	2024-09-18	2024-09-18	722	MaedahBatool	no	2	961	661	https://github.com/sourcegraph/docs/pull/661	2024-09-18	MaedahBatool	no	closed unmerged 2024-09-19	DELETE: PR closed without merge; author left org
add-hello-world-76428404-87be-42ae-b9aa-845a60473c92	https://github.com/sourcegraph/docs/tree/add-hello-world-76428404-87be-42ae-b9aa-845a60473c92	2026-07-03	2026-07-03	69	bobheadxi	yes	1	81						no PR	REVIEW: no PR, idle 30-180d
add-pricing-in-nav	https://github.com/sourcegraph/docs/tree/add-pricing-in-nav	2024-01-04	2024-01-04	980	MaedahBatool	no	1	1635	24	https://github.com/sourcegraph/docs/pull/24	2024-01-04	MaedahBatool	no	merged 2024-01-04	DELETE: PR already merged; author left org
agentic-batch-changes/0664c2ca541672c2636927b735e66a9500f1447eebf156ade48cc77d03b760d2	https://github.com/sourcegraph/docs/tree/agentic-batch-changes/0664c2ca541672c2636927b735e66a9500f1447eebf156ade48cc77d03b760d2	2026-04-15	2026-04-15	149	sourcegraph-bot	bot	1	132	1748	https://github.com/sourcegraph/docs/pull/1748	2026-04-15	jdorfman	yes	closed unmerged 2026-04-15	DELETE: PR closed without merge
ajb-remove-sourcegraph-dot-com-links	https://github.com/sourcegraph/docs/tree/ajb-remove-sourcegraph-dot-com-links	2024-12-12	2025-01-14	605	MaedahBatool	no	2	771	847	https://github.com/sourcegraph/docs/pull/847	2024-12-12	alexAtSourcegraph	no	closed unmerged 2025-07-21	DELETE: PR closed without merge; author left org
