path,inbound_links,page_views_90d,nav_menu,overlapped,created,last_changed,authors,commits
admin/access-control/batch-changes.mdx,4,0,,,2023-03-20,2026-05-20,4,5
admin/access-control/index.mdx,14,0,True,,2023-03-20,2026-04-02,8,14
admin/architecture.mdx,16,0,True,,2025-07-07,2026-03-06,5,16
admin/audit-log.mdx,7,0,,,2022-11-01,2025-12-14,10,18
admin/auth/builtin.mdx,1,0,,,2024-05-06,2025-12-14,2,5
admin/auth/index.mdx,62,0,True,,2018-10-17,2026-02-27,41,96
admin/auth/login-form.mdx,2,0,,,2023-04-17,2025-12-16,4,6
admin/auth/saml/azure-ad.mdx,2,0,,,2019-12-26,2025-12-14,10,12
admin/auth/saml/generic.mdx,4,0,,,2019-12-26,2025-12-14,8,11
admin/auth/saml/index.mdx,10,0,,,2019-12-26,2026-02-19,16,23
admin/auth/saml/jump-cloud.mdx,1,0,,,2020-02-29,2025-12-14,6,8
admin/auth/saml/microsoft-adfs.mdx,2,0,,,2018-10-17,2025-12-14,9,17
admin/auth/saml/okta.mdx,4,0,,,2019-12-26,2025-11-24,10,14
admin/auth/saml/one-login.mdx,1,0,,,2020-01-14,2025-12-14,8,9
admin/auth/troubleshooting.mdx,0,0,,,2020-11-09,2026-02-27,8,9
admin/code-hosts/aws-codecommit.mdx,3,0,,,2019-02-15,2026-09-15,14,65
admin/code-hosts/azuredevops.mdx,4,0,,,2023-03-07,2026-09-15,12,60
admin/code-hosts/bitbucket-cloud.mdx,10,0,,,2019-07-15,2026-09-15,21,73
admin/code-hosts/bitbucket-server.mdx,17,0,,,2019-02-15,2026-09-15,29,98
admin/code-hosts/gerrit.mdx,2,0,,,2023-01-27,2026-09-15,10,57
admin/code-hosts/github.mdx,22,0,,,2019-02-15,2026-09-15,47,136
admin/code-hosts/gitlab.mdx,21,10,,,2019-02-15,2026-09-15,33,95
admin/code-hosts/gitolite.mdx,2,0,,,2019-02-15,2026-09-15,10,54
admin/code-hosts/index.mdx,27,0,True,,2019-02-15,2026-04-28,25,47
admin/code-hosts/non-git.mdx,6,0,,,2020-04-02,2025-12-14,7,14
admin/code-hosts/other.mdx,9,0,,,2019-02-15,2026-09-15,18,69
admin/code-hosts/phabricator.mdx,5,0,,,2018-10-17,2026-09-15,15,62
admin/code-hosts/rate-limits.mdx,8,0,,,2023-03-24,2025-12-14,7,10
admin/code-hosts/src-serve-git.mdx,2,0,,,2020-08-14,2025-12-14,9,10
admin/config/authorization-and-authentication.mdx,3,0,,,2021-04-12,2025-12-14,12,18
admin/config/batch-changes.mdx,13,0,,,2021-04-19,2026-04-02,13,38
admin/config/settings.mdx,6,0,,,2020-03-03,2026-09-15,15,61
admin/config/site-config.mdx,84,0,,,2019-02-15,2026-09-15,24,83
admin/enterprise-portal.mdx,2,0,True,,2025-07-10,2026-01-27,4,5
admin/entitlements.mdx,5,0,,,2026-02-22,2026-08-07,2,3
admin/executors/executor-secrets.mdx,9,0,True,,2022-11-16,2025-12-16,8,12
admin/executors/index.mdx,9,0,True,,2021-11-18,2026-07-22,14,35
admin/faq.mdx,4,0,True,,2018-10-17,2025-12-14,17,33
admin/how-to/converting-version-contexts-to-search-contexts.mdx,3,0,,,2021-05-25,2025-11-24,4,6
admin/how-to/enable-experimental-feature.mdx,2,0,,,2021-05-12,2025-12-14,4,8
admin/how-to/export-search-results.mdx,2,0,,,2023-02-24,2025-12-14,4,5
admin/how-to/index.mdx,1,20,True,,2021-05-07,2026-02-24,21,43
admin/how-to/internal-github-repos.mdx,2,0,,,2022-04-29,2025-12-14,5,6
admin/how-to/lsif-scip-migration.mdx,4,0,,,2023-01-23,2025-12-14,4,5
admin/how-to/manage-feature-flags-with-graphql.mdx,1,0,,,2026-02-24,2026-02-24,1,1
admin/how-to/monorepo-issues.mdx,2,0,,,2021-11-16,2025-12-14,9,16
admin/how-to/mutate-user-api.mdx,2,0,,,2021-06-23,2025-12-14,7,8
admin/how-to/remove-repo.mdx,2,0,,,2021-10-26,2025-11-24,8,8
admin/how-to/repo-not-updated.mdx,3,0,,,2021-06-22,2025-12-14,7,10
admin/how-to/site-admin-quickstart.mdx,7,0,,,2021-10-26,2026-02-17,15,19
admin/how-to/submodule-configuration.mdx,2,0,,,2021-06-10,2025-11-24,3,3
admin/how-to/unknown-error-login.mdx,2,0,,,2021-05-12,2025-12-14,3,5
admin/how-to/update-repo-failure.mdx,2,0,,,2021-10-28,2025-12-14,3,5
admin/index.mdx,15,0,True,,2018-10-17,2026-03-31,47,122
admin/licensing.mdx,2,20,True,,2023-06-13,2025-12-14,7,13
admin/markdown.mdx,0,0,,,2018-10-17,2024-04-08,4,5
admin/migration/index.mdx,2,0,,,2018-11-01,2025-12-14,11,16
admin/migration/opengrok.mdx,3,0,,,2018-10-30,2025-12-19,19,34
admin/monorepo.mdx,4,0,,,2020-04-14,2025-11-24,4,8
admin/oauth-apps.mdx,7,0,True,,2025-08-18,2026-07-14,3,8
admin/organizations.mdx,6,20,,,2018-10-17,2025-12-14,8,11
admin/outbound-request-log.mdx,2,0,,,2022-12-19,2026-02-26,5,7
admin/permissions/api.mdx,12,0,,,2023-02-23,2025-12-14,7,11
admin/permissions/index.mdx,18,0,True,,2023-02-23,2025-12-17,10,16
admin/permissions/syncing.mdx,17,0,,,2023-02-23,2026-03-26,8,13
admin/permissions/webhooks.mdx,3,0,,,2023-02-23,2025-12-14,6,10
admin/pings.mdx,6,0,,,2018-10-17,2026-05-22,50,100
admin/privileges.mdx,1,0,,,2020-02-06,2025-11-24,3,3
admin/repo/add.mdx,4,0,,,2018-10-17,2026-07-07,15,24
admin/repo/auth.mdx,8,0,,,2018-12-14,2026-02-19,12,17
admin/repo/git-config.mdx,3,0,,,2021-08-03,2026-07-07,6,9
admin/repo/index.mdx,1,0,,,2018-10-17,2025-12-17,13,19
admin/repo/metadata.mdx,2,0,,,2022-09-09,2025-12-14,6,13
admin/repo/perforce.mdx,8,20,,,2019-03-08,2026-09-15,22,83
admin/repo/plasticscm.mdx,1,0,,,2022-12-07,2025-12-14,4,4
admin/repo/recording.mdx,2,0,,,2023-09-26,2025-12-14,3,4
admin/repo/update-frequency.mdx,4,0,,,2019-10-24,2025-12-14,13,17
admin/repo/webhooks.mdx,5,0,,,2018-10-17,2025-12-14,9,19
admin/scim.mdx,4,0,,,2023-02-09,2026-04-10,11,20
admin/search.mdx,10,40,,,2018-10-26,2025-12-14,11,15
admin/security-event-logs.mdx,0,0,,,2023-12-21,2025-12-14,3,10
admin/service-accounts.mdx,5,20,,,2025-06-23,2026-09-16,3,6
admin/subscriptions.mdx,1,0,,,2018-10-17,2025-12-14,13,22
admin/telemetry/index.mdx,9,0,,,2023-10-18,2026-03-20,6,13
admin/telemetry/private-metadata-allowlist.mdx,1,0,,,2026-02-28,2026-09-14,1,9
admin/telemetry/protocol.mdx,4,0,,,2026-02-28,2026-09-14,1,6
admin/user-data-deletion.mdx,2,0,,,2018-10-22,2026-03-10,11,14
admin/user-surveys.mdx,2,0,,,2018-10-17,2025-12-14,7,15
admin/webhooks/incoming.mdx,20,0,,,2022-12-12,2026-03-26,12,24
admin/webhooks/index.mdx,2,0,,,2025-12-14,2025-12-14,1,1
admin/webhooks/outgoing.mdx,3,0,,,2023-03-20,2026-05-26,5,11
agentic-batch-changes/configuration.mdx,6,0,True,,2026-09-14,2026-09-14,1,1
